op_id,op_type,dtype,value_range_in_bits,saturation,per,order
0,icraft::xir::InputNode,fp32,32;32,kld;kld,channel;tensor,-
4,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
5,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
6,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
7,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
8,icraft::xir::MaxPool2dNode,int8,8;8,kld;kld,channel;tensor,-
9,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
10,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
11,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
12,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
13,icraft::xir::MaxPool2dNode,int8,8;8,kld;kld,channel;tensor,-
14,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
15,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
16,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
17,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
18,icraft::xir::MaxPool2dNode,int8,8;8,kld;kld,channel;tensor,-
19,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
20,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
21,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
22,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
23,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
24,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
25,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
27,icraft::xir::TransposeNode,int8,8;8,kld;kld,channel;tensor,-
28,icraft::xir::SoftmaxNode,int8,8;8,kld;kld,channel;tensor,-
30,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
31,icraft::xir::ReLUNode,int8,8;8,kld;kld,channel;tensor,2
32,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
33,icraft::xir::OutputNode,fp32,32;32,kld;kld,channel;tensor,-
34,icraft::xir::ReshapeNode,int8,8;8,kld;kld,channel;tensor,-
35,icraft::xir::ReshapeNode,int8,8;8,kld;kld,channel;tensor,-
39,icraft::xir::TransposeNode,int8,8;8,kld;kld,channel;tensor,-
40,icraft::xir::TransposeNode,int8,8;8,kld;kld,channel;tensor,-
41,icraft::xir::TransposeNode,int8,8;8,kld;kld,channel;tensor,-
